  ,Name of Company,Holding Value in crores,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021
Rakesh Jhunjhunwala,Star Health and Allied Insurance Company Ltd.,"5,623",17.2%,17.3%,17.3%,17.3%,17.3%,17.4%,17.5%,17.5%,17.5%
Rakesh Jhunjhunwala,Metro Brands Ltd.,"2,940",9.6%,9.6%,9.6%,14.4%,14.4%,14.4%,14.4%,14.4%,14.4%
Rakesh Jhunjhunwala,Concord Biotech Ltd.,"3,668",24.1%,24.1%,-,-,-,-,-,-,-
Rakesh Jhunjhunwala,Anant Raj Ltd.,-,-,-,-,-,-,3.1%,3.4%,3.4%,3.4%
Rakesh Jhunjhunwala,Autoline Industries Ltd.,-,-,-,2.5%,4.0%,4.3%,-,4.5%,4.6%,4.6%
Rakesh Jhunjhunwala,Delta Corp Ltd.,-,-,-,-,-,-,-,-,7.5%,7.5%
Rakesh Jhunjhunwala,Edelweiss Financial Services Ltd.,-,-,-,-,1.3%,1.5%,1.5%,1.6%,1.6%,1.6%
Rakesh Jhunjhunwala,Indiabulls Real Estate Ltd.,-,-,-,-,-,-,-,-,1.1%,1.1%
Rakesh Jhunjhunwala,Indiabulls Housing Finance Ltd.,-,-,-,-,-,-,-,1.2%,1.3%,1.1%
Rakesh Jhunjhunwala,Man Infraconstruction Ltd.,-,-,-,-,-,-,1.2%,1.2%,1.2%,1.2%
Rakesh Jhunjhunwala,National Aluminium Company Ltd.,-,-,-,-,-,-,-,-,1.4%,1.4%
Rakesh Jhunjhunwala,Orient Cement Ltd.,-,-,-,-,-,-,1.2%,1.2%,1.2%,1.2%
Rakesh Jhunjhunwala,Prozone Realty Ltd.,-,-,-,-,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%
Rakesh Jhunjhunwala,Rallis India Ltd.,-,-,-,7.8%,10.3%,10.3%,9.4%,9.8%,9.8%,9.8%
Rakesh Jhunjhunwala,Steel Authority of India (SAIL) Ltd.,-,-,-,-,-,-,-,-,-,1.1%
Rakesh Jhunjhunwala,TV18 Broadcast Ltd.,-,-,-,-,-,-,-,-,1.2%,1.5%
Rakesh Jhunjhunwala,Bilcare Ltd.,-,-,-,-,-,7.4%,-,8.5%,-,8.5%
Rakesh Jhunjhunwala,Dishman Carbogen Amcis Ltd.,-,-,-,-,-,1.6%,3.2%,3.2%,3.2%,3.2%
Madhushan Kela,Transformers & Rectifiers (India) Ltd.,197,3.9%,-,-,-,-,-,-,-,-
Madhushan Kela,Samhi Hotels Ltd.,82,1.7%,-,-,-,-,-,-,-,-
Madhushan Kela,Bombay Dyeing & Manufacturing Company Ltd.,64,1.7%,1.7%,1.7%,1.7%,-,-,-,-,-
Madhushan Kela,Kopran Ltd.,13,1.0%,1.0%,1.0%,1.0%,-,-,-,-,-
Madhushan Kela,Repro India Ltd.,41,3.3%,3.3%,3.6%,-,-,-,-,-,-
Madhushan Kela,Sangam (India) Ltd.,142,5.9%,5.9%,5.9%,1.1%,1.1%,1.1%,-,-,-
Madhushan Kela,Mkventures Capital Ltd.,532,74.4%,74.4%,74.4%,83.7%,83.7%,83.7%,83.7%,83.7%,-
Madhushan Kela,Choice International Ltd.,330,12.1%,12.1%,12.1%,12.1%,12.1%,12.1%,-,-,-
Madhushan Kela,Niyogin Fintech Ltd.,39,5.3%,5.3%,-,-,-,-,-,-,-
Madhushan Kela,Indostar Capital Finance Ltd.,73,2.5%,2.5%,2.5%,-,-,-,-,-,-
Madhushan Kela,CSL Finance Ltd.,-,-,-,-,-,-,1.2%,1.2%,1.2%,1.3%
Madhushan Kela,IRIS Business Services Ltd.,14,5.5%,5.5%,5.5%,5.5%,5.6%,5.6%,5.6%,5.6%,5.6%
Dolly Khanna,J Kumar Infraprojects Ltd.,49,1.0%,-,-,-,-,1.1%,-,-,-
Dolly Khanna,Savera Industries Ltd.,2,1.2%,-,-,-,-,-,-,-,-
Dolly Khanna,Zuari Industries Ltd.,11,1.2%,-,-,-,-,1.2%,1.2%,-,-
Dolly Khanna,Ujjivan Financial Services Ltd.,76,1.1%,-,-,-,-,-,-,-,-
Dolly Khanna,Prakash Industries Ltd.,36,1.2%,1.0%,-,-,-,-,-,-,-
Dolly Khanna,Deepak Spinners Ltd.,3,1.8%,1.7%,1.7%,1.2%,1.2%,1.2%,1.2%,1.4%,1.6%
Dolly Khanna,KCP Sugar & Industries Corporation Ltd.,6,1.4%,1.3%,-,-,-,-,-,-,-
Dolly Khanna,Mangalore Chemicals & Fertilizers Ltd.,19,1.3%,1.2%,1.3%,1.2%,1.2%,1.4%,1.5%,1.7%,1.5%
Dolly Khanna,Rajshree Sugars & Chemicals Ltd.,3,1.1%,1.1%,-,-,-,-,-,-,-
Dolly Khanna,Control Print Ltd.,19,1.3%,1.2%,1.2%,1.0%,1.0%,1.0%,1.0%,1.1%,1.0%
Dolly Khanna,Salzer Electronics Ltd.,12,1.0%,1.1%,-,-,-,-,-,-,-
Dolly Khanna,Prakash Pipes Ltd.,31,3.1%,3.2%,2.8%,2.7%,2.8%,2.8%,2.7%,2.4%,1.4%
Dolly Khanna,Talbros Automotive Components Ltd.,23,1.3%,1.6%,1.5%,1.0%,1.2%,1.2%,1.1%,1.1%,1.7%
Dolly Khanna,Chennai Petroleum Corporation Ltd.,175,1.3%,1.6%,1.8%,2.1%,2.2%,2.6%,3.3%,-,-
